deck1,deck2,n,w
u/w control,zoo,7,3
u/w control,u/w landstill,7,5
u/g infect,u/r delver,7,2
twelvepost,u/r delver,7,4
sultai control,u/r delver,7,3
stoneblade,u/b tezzeret,7,2
stax,team america,7,1
sneak and show,u/w/r delver,7,2
show and tell,u/w landstill,7,2
rug delver,u/w stoneblade,7,5
reanimator,stiflenought,7,3
reanimator,slivers,7,4
no bant,u/w control,7,6
no bant,rug delver,7,1
natural order,reanimator,7,6
mono black control,stoneblade,7,0
mono black aggro,stoneblade,7,2
miracles,mono blue control,7,4
miracleblade,pox,7,2
merfolk,u/w/r landstill,7,6
merfolk,u/g madness,7,3
merfolk,the walking dead,7,2
merfolk,sea drake stompy,7,4
maverick,u/b delver,7,6
maverick,the walking dead,7,5
maverick,mud,7,3
life,merfolk,7,2
landstill,team america,7,2
lands,tes,7,1
lands,natural order,7,3
junk,tes,7,2
junk depths,zoo,7,3
junk depths,reanimator,7,4
infect,painted stone,7,2
hypergenesis,miracles,7,1
hulk combo,merfolk,7,3
high tide,mono blue control,7,5
helm of the void,survival,7,3
g/w stoneblade,zoo,7,4
grixis delver,u/r delver,7,5
grixis control,stoneblade,7,3
goblins,slivers,7,5
goblins,life,7,4
goblins,infect,7,3
g/b/w rock,merfolk,7,4
g/b/w rock,goblins,7,3
food chain,rug delver,7,4
eva green,team america,7,4
eva green,junk,7,2
enchantress,hive mind,7,1
elves,new horizons,7,4
elves,mono blue control,7,4
elves,mono black control,7,4
dredge,u/b control,7,6
dredge,mono black aggro,7,4
dragon stompy,survival,7,0
doomsday,u/r delver,7,2
deathblade,u/w/r delver,7,4
deathblade,show and tell,7,2
deathblade,esper stoneblade,7,3
deadguy ale,elves,7,1
counter-top,u/w control,7,1
counter-top,natural order,7,3
counter-top,infect,7,3
cephalid breakfast,goblins,7,4
canadian threshold,zoo,7,4
b/w weenie,goblins,7,5
b/w control,zoo,7,0
b/w aggro,elves,7,2
b/w aggro,elves,7,2
b/w aggro,burn,7,3
b/w aggro,burn,7,3
b/w aggro,bant,7,3
b/w aggro,bant,7,3
burn,stiflenought,7,0
burn,esper control,7,4
bug visions,painted stone,7,2
bug visions,no rug,7,4
bug,u/w control,7,4
bug,painted stone,7,3
bug landstill,hive mind,7,3
bug landstill,counter-top,7,5
bug landstill,burn,7,1
bug delver,u/r delver,7,7
bug delver,reanimator,7,3
bug delver,merfolk,7,4
bug delver,death and taxes,7,4
belcher,u/w tempo,7,2
belcher,stax,7,4
belcher,nic fit,7,4
belcher,miracleblade,7,5
belcher,faeries,7,2
battle of wits,merfolk,7,3
bant,survival,7,4
bant,eva green,7,7
bant,bug landstill,7,3
bant aggro,painted stone,7,4
ant,g/w/b rock,7,5
ant,g/w aggro,7,5
aggro loam,no rug,7,3
aggro loam,no bant,7,1
aggro loam,metalworker,7,3
ad nauseam tendrils,rug delver,7,4
4 color control,merfolk,7,2
<unknown>,maverick,6,4
tes,u/w stoneblade,6,4
temur delver,u/r delver,6,5
team america,white weenie,6,2
team america,tezzeret metalcraft,6,4
storm,sultai delver,6,1
stiflenaught,zoo,6,3
sneak and show,team america,6,3
slivers,zoo,6,1
show and tell,stax,6,4
rug,zoo,6,2
rug visions,u/w stoneblade,6,5
rug delver,trading stax,6,3
rug delver,storm,6,6
rug delver,shardless bug,6,4
reanimator,tezzeret metalcraft,6,2
painter's grindstone,sneak and show,6,2
painted stone,u/w/r control,6,4
painted stone,tes,6,3
omnitell,tes,6,3
not submitted,stoneblade,6,2
no stax,rug delver,6,4
no rug,rug visions,6,5
nic fit,omnitell,6,0
mono blue tempo,stoneblade,6,3
mono black control,no rug,6,0
miracles,twelvepost,6,4
metalworker,mono blue control,6,4
metalcraft,reanimator,6,2
mesmeric monolith,zoo,6,4
mesmeric monolith,u/w stoneblade,6,3
merfolk,u/r control,6,5
merfolk,slivers,6,4
merfolk,scepter chant,6,4
maverick,trading stax,6,4
maverick,no bant,6,3
manaless dredge,zoo,6,2
manaless dredge,reanimator,6,3
lands,slivers,6,5
lands,nic fit,6,3
junk,u/w/r landstill,6,2
junk,u/b control,6,3
junk depths,team america,6,3
infect,show and tell,6,1
infect,reanimator,6,1
hypergenesis,team america,6,3
hypergenesis,sneak and show,6,1
hypergenesis,painted stone,6,4
hypergenesis,metalworker,6,2
hulk combo,zoo,6,2
hive mind,metalworker,6,1
high tide,nic fit,6,4
high tide,lands,6,4
high tide,hypergenesis,6,3
g/w/b midrange,u/r delver,6,4
g/w aggro,survival,6,3
g/w aggro,show and tell,6,2
g/w aggro,reanimator,6,1
g/w aggro,metalworker,6,3
grixis delver,miracles,6,2
goblins,stiflenought,6,4
goblins,hexmage depths,6,3
food chain,stoneblade,6,3
explorer rock,stoneblade,6,1
explorer rock,maverick,6,3
eva green,threshold,6,3
eva green,survival,6,2
esper stoneblade,u/w/r delver,6,3
esper stoneblade,rug delver,6,3
esper stoneblade,jund,6,1
esper control,maverick,6,4
enchantress,u/w landstill,6,1
enchantress,threshold,6,3
enchantress,pox,6,3
elves,stax,6,2
elves,shardless sultai,6,3
elves,shardless bug,6,4
elves,omni-tell,6,3
elves,grixis control,6,1
elves,esper control,6,3
dredge,u/b tezzeret,6,2
dredge,u/b delver,6,4
dredge,tezzeret thopters,6,5
dredge,shardless sultai,6,2
dredge,painter's grindstone,6,2
dredge,grixis delver,6,2
doomsday,merfolk,6,1
death and taxes,u/w stoneblade,6,4
death and taxes,team america,6,4
death and taxes,shardless sultai,6,2
death and taxes,nic fit,6,4
deadguy ale,u/r delver,6,3
counter-top,u/b control,6,1
counter-top,trinistax,6,4
counter-top,slivers,6,3
counter-top,no rug,6,3
counter-top,hive mind,6,5
cephalid breakfast,stoneblade,6,2
canadian threshold,team america,6,4
canadian threshold,show and tell,6,3
canadian threshold,counter-top,6,2
bw tokens,stoneblade,6,4
b/w control,counter-top,6,4
burn,u/w/r delver,6,2
burn,sultai delver,6,4
burn,mono black control,6,4
burn,hexmage depths,6,3
burn,deathblade,6,0
bug,zoo,6,0
bug visions,u/w stoneblade,6,3
bug,omnitell,6,3
bug midrange,rug delver,6,3
bug midrange,maverick,6,1
bug landstill,show and tell,6,5
bug landstill,no rug,6,3
bug landstill,no bant,6,2
bug delver,miracles,6,3
bug,deadguy ale,6,4
bug control,stoneblade,6,4
b/u/g control,junk,6,4
belcher,u/w stoneblade,6,2
belcher,u/w control,6,2
belcher,natural order,6,2
belcher,g/w aggro,6,3
belcher,cephalid breakfast,6,0
bant,u/w/r control,6,3
bant,mesmeric monolith,6,5
bant,hypergenesis,6,5
bant control,counter-top,6,4
bant aggro,rug delver,6,3
bant aggro,junk,6,2
assault loam,zoo,6,4
assault loam,team america,6,4
ascendency combo,lands,6,6
ascendency combo,jeskai stoneblade,6,5
ant,white weenie,6,4
ant,tezzeret metalcraft,6,5
ant,stiflenought,6,4
ant,sneak and show,6,3
ant,deadguy ale,6,3
ant,bant control,6,3
ant,assault loam,6,5
aluren,survival,6,2
aggro loam,u/w tempo,6,1
aggro loam,nic fit,6,3
aggro loam,mono black control,6,2
affinity,stiflenought,6,1
affinity,stax,6,4
affinity,rug,6,4
affinity,bug visions,6,1
affinity,b/r control,6,4
4 color loam,hive mind,6,1
<unknown>,stoneblade,5,1
turboland,u/w stoneblade,5,3
the walking dead,u/r delver,5,3
tezzeret thopters,zoo,5,2
tezzeret metalcraft,u/b control,5,2
tezzeret affinity,zoo,5,0
tes,twelvepost,5,3
team america,u/b control,5,2
survival,white weenie,5,5
storm,zoo,5,0
storm,temur delver,5,2
stoneblade,u/w/r control,5,2
stoneblade,team italia,5,1
stifle naught,u/r delver,5,4
stifle naught,tes,5,4
stiflenaught,stoneblade,5,3
show and tell,white weenie,5,4
show and tell,u/r delver,5,2
show and tell,u/b control,5,2
scepter chant,stoneblade,5,3
rug delver,zombies,5,3
rug delver,team italia,5,2
reanimator,white weenie,5,4
reanimator,u/w/r delver,5,2
reanimator,temur delver,5,2
reanimator,scepter chant,5,4
punishing jund,rug delver,5,2
pox,stax,5,4
painted stone,u/w control,5,4
omnitell,zoo,5,2
omni-tell,rug delver,5,3
no rug,u/w control,5,2
nic fit,zoo,5,3
nic fit,pox,5,3
mono green aggro,rug delver,5,0
mono-blue control,team america,5,5
mono blue control,survival,5,2
mono blue control,sneak and show,5,3
mono black,zoo,5,0
mono black control,no bant,5,1
mono black aggro,rug delver,5,3
metal worker,u/r delver,5,1
metalworker,pox,5,3
metalworker,no rug,5,2
mesmeric monolith,stoneblade,5,1
merfolk,u/w aggro,5,2
merfolk,u/r landstill,5,5
merfolk,u/b delver,5,4
merfolk,stiflenaught,5,3
merfolk,stifle naught,5,3
merfolk,r/w/b aggro,5,2
merfolk,not found,5,3
merfolk,mono black,5,4
maverick,temur delver,5,4
maverick,team italia,5,2
manaless dredge,merfolk,5,4
landstill,no bant,5,0
landstill,new horizons,5,2
lands,shallow grave reanimator,5,5
lands,pox,5,4
junk,u/r delver,5,2
junk,twelvepost,5,3
junk,tezzeret thopters,5,3
junk,mono black control,5,4
jund,reanimator,5,2
jeskai stoneblade,sneak and show,5,4
jeskai stoneblade,maverick,5,3
jedi emreka,zoo,5,3
infect,miracles,5,3
infect,lands,5,2
iggy pop,merfolk,5,2
hulk combo,junk,5,3
hive mind,lands,5,2
hive mind,junk depths,5,4
hive mind,infect,5,4
high tide,u/w landstill,5,3
high tide,u/b control,5,1
high tide,tezzeret thopters,5,3
high tide,stax,5,2
g/w stoneblade,reanimator,5,3
g/w/b rock,reanimator,5,4
g/w/b rock,goblins,5,0
g/w/b midrange,zoo,5,4
g/w aggro,stoneblade,5,3
goblins,u/b control,5,3
goblins,sea drake stompy,5,3
goblins,rug,5,2
goblins,painter's grindstone,5,3
goblins,iggy pop,5,2
g/b pox,stoneblade,5,3
freebie glimpse,merfolk,5,0
food chain,sneak and show,5,3
food chain,merfolk,5,2
faeries,survival,5,1
enchantress,u/w stoneblade,5,3
enchantress,mono black control,5,3
elves,white weenie,5,5
elves,u/b tezzeret,5,1
elves,storm,5,1
elves,jeskai delver,5,3
elves,g/w/b midrange,5,1
elves,g/w aggro,5,3
dredge,u/w tempo,5,2
dredge,twelvepost,5,2
dredge,sea drake stompy,5,3
dredge,scepter chant,5,3
dredge,g/w/b rock,5,3
dreadstill,zoo,5,3
dragon stompy,lands,5,5
dragon stompy,junk,5,2
doomsday,zoo,5,3
doomsday,hive mind,5,1
doomsday,dredge,5,4
death's shadow,omnitell,5,5
death's shadow,maverick,5,2
deathblade,storm,5,1
deathblade,shardless sultai,5,1
deathblade,dredge,5,3
death and taxes,jund,5,1
death and taxes,infect,5,2
death and taxes,enchantress,5,5
deadguy ale,reanimator,5,2
deadguy ale,metalworker,5,2
deadguy ale,hive mind,5,2
counter-top,u/r delver,5,3
counter-top,g/b/w rock,5,2
cephalid breakfast,tes,5,2
canadian threshold,high tide,5,3
b/w weenie,no bant,5,1
b/w weenie,enchantress,5,2
b/w tokens,maverick,5,1
b/w control,stoneblade,5,0
burn,u/w/r control,5,2
burn,trinistax,5,3
burn,stifle naught,5,3
burn,stasis,5,5
burn,rug,5,2
burn,g/w/b midrange,5,2
burn,explorer rock,5,4
burn,deadguy ale,5,2
bug,u/b delver,5,1
bug,team america,5,1
bug landstill,mono blue control,5,3
bug,lands,5,3
bug delver,u/w/r delver,5,4
bug delver,omnitell,5,1
bug delver,dredge,5,2
blue zoo,u/w stoneblade,5,3
blue zoo,stoneblade,5,3
blue zoo,hive mind,5,3
belcher,white weenie,5,4
belcher,u/w landstill,5,0
belcher,hypergenesis,5,2
belcher,eva green,5,4
bant,white weenie,5,5
bant,stiflenought,5,4
bant,death and taxes,5,4
bant,bug visions,5,1
bant aggro,stoneblade,5,2
bant aggro,elves,5,2
assault loam,junk,5,0
assault loam,elves,5,3
assault loam,dredge,5,2
ant,u/w control,5,3
ant,u/r delver,5,3
ant,twelvepost,5,3
ant,nic fit,5,3
ant,miracles,5,1
ant,cephalid breakfast,5,1
ant,bug delver,5,1
ant,boros,5,3
ant,bant aggro,5,3
aluren,team america,5,2
aluren,rug delver,5,1
aluren,reanimator,5,2
aluren,mono black control,5,4
aluren,metalworker,5,4
aluren,lands,5,3
aluren,junk,5,2
aluren,elves,5,4
aggro loam,u/w control,5,4
aggro loam,survival,5,5
aggro loam,eva green,5,1
aggro loam,dream halls,5,1
affinity,u/w/r control,5,1
affinity,slivers,5,4
affinity,grixis control,5,2
affinity,canadian threshold,5,4
affinity,bug control,5,2
ad nauseam tendrils,deathblade,5,5
4 color loam,no rug,5,3
4 color loam,ant,5,3
4 color landstill,painted stone,5,2
4 color landstill,dredge,5,2
u/r delver,u/w/r delver,4,1
trinistax,zoo,4,1
tes,u/w landstill,4,1
team america,u/w tempo,4,2
stax,survival,4,1
sneak and show,temur delver,4,2
sneak and show,stax,4,2
show and tell,tes,4,2
shardless sultai,u/r delver,4,3
shardless sultai,temur delver,4,1
scepter chant,threshold,4,3
scepter chant,team america,4,2
rug,show and tell,4,2
rug delver,walking dead,4,2
rug control,rug delver,4,3
reanimator,zombies,4,3
reanimator,u/w/r landstill,4,2
reanimator,sultai delver,4,0
reanimator,stifle naught,4,1
reanimator,shardless bug,4,2
reanimator,rug,4,1
pox,u/w stoneblade,4,1
pox,u/b control,4,3
pox,storm,4,1
painted stone,tezzeret thopters,4,3
painted stone,tezzeret control,4,3
painted stone,slivers,4,1
omnitell,u/b tezzeret,4,2
omnitell,the walking dead,4,2
omni-tell,sneak and show,4,2
no show,rug delver,4,1
no rug,tes,4,1
no rug,scapeshift,4,0
no rug,rug delver,4,3
no green,team america,4,1
no bant,u/r delver,4,1
no bant,threshold,4,4
no bant,survival,4,0
no bant,rug,4,3
nic fit,u/w control,4,0
nic fit,the walking dead,4,0
new horizons,show and tell,4,1
natural order,threshold,4,1
mud,sneak and show,4,3
mono white stoneblade,stoneblade,4,3
mono white stax,rug delver,4,1
mono white aggro,sneak and show,4,1
mono blue control,u/r delver,4,3
mono-blue control,u/r delver,4,2
mono blue control,show and tell,4,1
mono-blue control,rug delver,4,2
mono blue control,no bant,4,3
mono black control,u/w stoneblade,4,0
mono black control,stax,4,1
mono black control,mono blue control,4,2
miracleblade,u/r delver,4,2
metalworker,stax,4,3
metalworker,nic fit,4,2
metalworker,mono white aggro,4,1
mesmeric monolith,team america,4,1
mesmeric monolith,painted stone,4,4
merfolk,u/w visions,4,2
merfolk,thopter blade,4,2
merfolk,team italia,4,0
merfolk,r/u/g control,4,3
merfolk,r/g aggro,4,3
merfolk,pyromancer ascension,4,4
merfolk,no green,4,3
maverick,white weenie,4,2
maverick,walking dead,4,1
maverick,u/b control,4,4
maverick,tezzeret thopters,4,2
maverick,tezzeret metalcraft,4,2
maverick,sultai delver,4,1
maverick,slivers,4,2
maverick,rug,4,2
maverick,no rug,4,2
maverick,mono white aggro,4,3
list missing,team america,4,3
leyline helm,maverick,4,1
lands,u/w stoneblade,4,1
landstill,threshold,4,0
landstill,metalworker,4,2
lands,the walking dead,4,2
lands,temur delver,4,2
lands,shardless sultai,4,3
lands,omnitell,4,0
lands,no rug,4,2
lands,mono blue control,4,1
junk,stiflenought,4,2
junk,r/w/b blade,4,1
junk,pox,4,1
junk,mesmeric monolith,4,2
jund,show and tell,4,1
jund,maverick,4,3
jeskai stoneblade,temur delver,4,1
jeskai stoneblade,show and tell,4,2
jeskai delver,storm,4,2
jeskai delver,show and tell,4,2
jedi emreka,merfolk,4,2
infect,sultai delver,4,3
infect,maverick,4,3
hypergenesis,u/w stoneblade,4,1
hypergenesis,stifle naught,4,3
hypergenesis,show and tell,4,0
hulk combo,no rug,4,0
hive mind,u/w visions,4,2
hive mind,u/w control,4,2
hive mind,rug,4,2
hive mind,pox,4,2
hive mind,mono blue control,4,4
hive mind,mono black control,4,2
high tide,u/w stoneblade,4,1
high tide,jund,4,1
hexmage depths,reanimator,4,2
helm of the void,zoo,4,0
helm of the void,reanimator,4,1
helm of the void,lands,4,4
g/w stoneblade,team america,4,1
g/w/b rock,painted stone,4,1
g/w/b midrange,sneak and show,4,2
g/w/b midrange,lands,4,1
g/w/b control,merfolk,4,2
g/w aggro,u/w landstill,4,2
g/w aggro,lands,4,2
grixis tempo,stoneblade,4,2
grixis delver,merfolk,4,4
grixis control,zoo,4,2
grixis control,u/w landstill,4,2
grixis control,painted stone,4,4
grixis control,jeskai stoneblade,4,3
grindstone's servant,natural order,4,0
goblins,u/w/r delver,4,3
goblins,u/w/r control,4,2
goblins,u/w aggro,4,0
goblins,u/b tezzeret,4,3
goblins,tezzeret thopters,4,1
goblins,scapeshift,4,1
goblins,mono white aggro,4,0
goblins,junk depths,4,1
glimpse combo,goblins,4,1
geddon stax,u/w stoneblade,4,2
geddon stax,merfolk,4,2
g/b/w rock,survival,4,0
g/b pox,zoo,4,3
g/b pox,merfolk,4,3
food chain,u/r delver,4,1
food chain,goblins,4,1
faeries,stax,4,2
faeries,new horizons,4,1
explorer rock,reanimator,4,1
eva green,painted stone,4,0
eva green,new horizons,4,1
eva green,natural order,4,1
eva green,landstill,4,2
eva green,high tide,4,1
esper stoneblade,stoneblade,4,3
esper stoneblade,high tide,4,1
esper control,red deck wins,4,3
enchantress,u/w control,4,3
enchantress,storm,4,1
enchantress,stax,4,0
enchantress,nic fit,4,3
enchantress,new horizons,4,2
enchantress,hypergenesis,4,1
elves,u/b delver,4,2
elves,painter's grindstone,4,2
elves,miracleblade,4,1
elves,junk depths,4,2
elves,jund,4,3
dredge,u/w aggro,4,1
dredge,the walking dead,4,1
dredge,temur delver,4,2
dredge,mud,4,2
dredge,miracleblade,4,1
dredge,mesmeric monolith,4,1
dredge,manaless dredge,4,4
dredge,jund,4,1
dredge,hulk combo,4,0
dredge,g/w stoneblade,4,2
dredge,esper stoneblade,4,3
dream halls,u/w control,4,2
dream halls,metalworker,4,2
dream halls,high tide,4,3
dreadstill,reanimator,4,3
dragon stompy,rug delver,4,2
dragon stompy,new horizons,4,3
dragon stompy,maverick,4,1
dragon stompy,eva green,4,2
doomsday,tes,4,1
doomsday,miracles,4,1
doomsday,metalworker,4,1
doomsday,goblins,4,0
doomsday,enchantress,4,4
death's shadow,rug delver,4,1
deathblade,twelvepost,4,1
deathblade,temur delver,4,2
deathblade,omni-tell,4,1
deathblade,maverick,4,2
deathblade,lands,4,1
deathblade,jeskai stoneblade,4,2
death and taxes,u/w miracles,4,3
death and taxes,sultai delver,4,2
death and taxes,g/w/b midrange,4,2
death and taxes,esper stoneblade,4,2
deadguy ale,zoo,4,4
deadguy ale,sneak and show,4,2
deadguy ale,pox,4,3
deadguy ale,miracleblade,4,3
dark zoo,merfolk,4,2
counter-top,twelvepost,4,2
counter-top,scapeshift,4,2
counter-top,junk depths,4,4
counter-top,iggy pop,4,3
counter-top,hypergenesis,4,2
cephalid breakfast,u/w stoneblade,4,1
cephalid breakfast,survival,4,2
cephalid breakfast,no bant,4,3
cephalid breakfast,enchantress,4,2
caw-blade,merfolk,4,1
caw-blade,junk,4,2
canadian threshold,landstill,4,3
b/w weenie,u/w landstill,4,1
b/w weenie,survival,4,2
b/w weenie,burn,4,4
b/w tokens,rug delver,4,0
b/w tokens,goblins,4,4
b/w control,goblins,4,2
b/w control,eva green,4,1
b/w control,elves,4,1
b/w control,belcher,4,2
b/w control,bant,4,1
b/w aggro,painted stone,4,0
b/w aggro,painted stone,4,0
b/w aggro,lands,4,4
b/w aggro,lands,4,4
burn,u/b control,4,1
burn,threshold,4,1
burn,tezzeret thopters,4,3
burn,no bug,4,2
burn,new horizons,4,2
burn,esper stoneblade,4,3
burn,doomsday,4,3
burn,cephalid breakfast,4,2
burn,canadian threshold,4,0
bug visions,rug visions,4,2
bug visions,reanimator,4,2
bug visions,hive mind,4,2
bug,stiflenought,4,2
bug,no rug,4,2
bug,mono blue control,4,2
bug midrange,omnitell,4,3
bug landstill,lands,4,2
bug delver,lands,4,1
bug delver,deathblade,4,1
bug delver,deadguy ale,4,2
bug delver,burn,4,1
bug,death and taxes,4,3
bug control,sneak and show,4,3
bug control,maverick,4,1
b/u/g control,goblins,4,3
boros,enchantress,4,3
blue zoo,no rug,4,2
black rack,merfolk,4,2
b/g rock,merfolk,4,2
belcher,mono-blue control,4,0
belcher,jund,4,2
belcher,g/w stoneblade,4,2
belcher,g/w/b rock,4,4
battle of wits,reanimator,4,2
battle of wits,maverick,4,3
battle of wits,goblins,4,3
battle of wits,burn,4,0
bant,u/w/r landstill,4,1
bant,tezzeret metalcraft,4,4
bant,stax,4,3
bant,rug,4,2
bant,landstill,4,3
bant,infect,4,1
bant,g/w aggro,4,1
bant,cephalid breakfast,4,4
bant,bug,4,2
bant aggro,u/r delver,4,1
bant aggro,reanimator,4,1
assault loam,show and tell,4,1
armageddon stax,maverick,4,0
ant,stiflenaught,4,3
ant,slivers,4,2
ant,pox,4,4
ant,omnitell,4,2
ant,infect,4,2
ant,b/w control,4,3
ant,bug,4,2
ant,armageddon stax,4,3
aluren,painted stone,4,2
aluren,no rug,4,1
aluren,miracles,4,2
aluren,burn,4,4
allies,survival,4,3
aggro loam,u/w landstill,4,3
aggro loam,tes,4,2
aggro loam,stax,4,4
aggro loam,show and tell,4,3
aggro loam,new horizons,4,4
aggro loam,death and taxes,4,4
aggro loam,deadguy ale,4,3
aggro loam,bug,4,2
aggro loam,bant aggro,4,1
affinity,tezzeret thopters,4,3
affinity,scapeshift,4,2
affinity,mono black aggro,4,4
