Card Statistics over 676 Decks (2025 Asia Legacy Championship (2025-12-12))
+----------------------------------------------------------+-------+--------+-------------+-------------+--------------+--------+--------------+---------+------------+-----------+
|                           Card                           | # of  |  % of  | # of Copies | # of Copies | Record With  | Win %  |    Record    |  Win %  | Record vs. | Win % vs. |
|                                                          | Decks | Decks  |   (Main)    |   (Side)    |              |  With  |   Without    | Without |  Without   |  Without  |
+----------------------------------------------------------+-------+--------+-------------+-------------+--------------+--------+--------------+---------+------------+-----------+
| Cabal Therapy                                            |    52 |  7.72% |         114 |           4 |    201-216-4 | 48.22% | 2615-2600-86 |  50.14% |  178-193-4 |    48.00% |
| Magus of the Moon                                        |    52 |  7.72% |          60 |          58 |    161-223-1 | 41.95% | 2655-2593-89 |  50.58% |  149-211-1 |    41.41% |
| Quantum Riddler                                          |    52 |  7.72% |         151 |           0 |   234-210-12 | 52.63% | 2582-2606-78 |  49.77% | 218-194-12 |    52.83% |
| Hedge Maze                                               |    51 |  7.57% |          52 |           0 |   202-201-12 | 50.12% | 2614-2615-78 |  49.99% |  190-189-8 |    50.13% |
| Reanimate                                                |    51 |  7.57% |         126 |           9 |    217-212-5 | 50.58% | 2599-2604-85 |  49.95% |  199-194-5 |    50.63% |
| Ugin, Eye of the Storms                                  |    50 |  7.42% |          91 |           2 |    201-213-6 | 48.57% | 2615-2603-84 |  50.11% |  185-197-6 |    48.45% |
| Warping Wail                                             |    49 |  7.27% |           0 |          87 |    203-196-7 | 50.86% | 2613-2620-83 |  49.93% |  187-180-7 |    50.94% |
| Windswept Heath                                          |    49 |  7.27% |         103 |           0 |   220-205-13 | 51.71% | 2596-2611-77 |  49.86% |  205-190-9 |    51.86% |
| Mistrise Village                                         |    48 |  7.12% |          50 |          15 |    171-211-3 | 44.81% | 2645-2605-87 |  50.37% |  155-195-3 |    44.33% |
| Eldrazi Confluence                                       |    46 |  6.82% |          35 |          33 |    239-194-9 | 55.09% | 2577-2622-81 |  49.57% |  220-175-9 |    55.57% |
| Shadowspear                                              |    45 |  6.68% |          33 |          12 |    191-188-7 | 50.39% | 2625-2628-83 |  49.97% |  179-176-7 |    50.41% |
| Unlicensed Hearse                                        |    45 |  6.68% |           5 |          67 |    185-191-4 | 49.21% | 2631-2625-86 |  50.06% |  168-174-4 |    49.13% |
| Savannah                                                 |    44 |  6.53% |          48 |           0 |   178-175-14 | 50.41% | 2638-2641-76 |  49.97% | 162-159-12 |    50.45% |
| Liquimetal Coating                                       |    43 |  6.38% |           0 |          43 |    163-179-4 | 47.69% | 2653-2637-86 |  50.15% |  154-170-4 |    47.56% |
| Fury                                                     |    41 |  6.08% |          48 |          49 |    132-177-1 | 42.74% | 2684-2639-89 |  50.42% |  126-171-1 |    42.45% |
| Sire of Seven Deaths                                     |    41 |  6.08% |          38 |          18 |    170-168-5 | 50.29% | 2646-2648-85 |  49.98% |  161-159-5 |    50.31% |
| Cabal Ritual                                             |    40 |  5.93% |          82 |           0 |    180-163-4 | 52.45% | 2636-2653-86 |  49.84% |  172-155-4 |    52.57% |
| Damping Sphere                                           |    39 |  5.79% |           0 |          53 |    152-169-8 | 47.42% | 2664-2647-82 |  50.16% |  146-163-8 |    47.32% |
| Stoneforge Mystic                                        |    39 |  5.79% |         154 |           0 |   184-157-10 | 53.85% | 2632-2659-80 |  49.75% |  177-150-8 |    54.03% |
| Wastes                                                   |    39 |  5.79% |          43 |           0 |    146-155-3 | 48.52% | 2670-2661-87 |  50.08% |  139-148-3 |    48.45% |
| Harbinger of the Seas                                    |    37 |  5.49% |           9 |          57 |    145-157-3 | 48.03% | 2671-2659-87 |  50.11% |  135-147-3 |    47.89% |
| Meteor Sword                                             |    37 |  5.49% |          36 |           2 |   184-149-11 | 55.09% | 2632-2667-79 |  49.67% |  175-140-9 |    55.40% |
| Prismatic Vista                                          |    37 |  5.49% |         122 |           0 |   164-154-12 | 51.52% | 2652-2662-78 |  49.91% | 155-145-12 |    51.60% |
| Consider                                                 |    36 |  5.34% |          46 |           0 |    179-145-4 | 55.18% | 2637-2671-86 |  49.68% |  168-134-4 |    55.56% |
| Deafening Silence                                        |    36 |  5.34% |           0 |          89 |   170-151-11 | 52.86% | 2646-2665-79 |  49.82% |  162-143-7 |    53.04% |
| Dress Down                                               |    36 |  5.34% |          36 |          17 |    157-148-7 | 51.44% | 2659-2668-83 |  49.92% |  149-140-7 |    51.52% |
| Badlands                                                 |    35 |  5.19% |          43 |           0 |    135-143-3 | 48.58% | 2681-2673-87 |  50.07% |  130-138-3 |    48.52% |
| Sneak Attack                                             |    35 |  5.19% |         133 |           4 |    131-154-3 | 46.01% | 2685-2662-87 |  50.21% |  122-145-3 |    45.74% |
| Soul-Guide Lantern                                       |    35 |  5.19% |          31 |           4 |    129-140-5 | 47.99% | 2687-2676-85 |  50.10% |  123-134-5 |    47.90% |
| Stifle                                                   |    35 |  5.19% |          92 |           1 |    150-151-5 | 49.84% | 2666-2665-85 |  50.01% |  143-144-5 |    49.83% |
| Collector Ouphe                                          |    34 |  5.04% |          16 |          27 |    127-139-7 | 47.80% | 2689-2677-83 |  50.11% |  124-136-7 |    47.75% |
| Pre-War Formalwear                                       |    34 |  5.04% |          36 |           0 |    166-135-9 | 55.00% | 2650-2681-81 |  49.71% |  160-129-7 |    55.24% |
| Walking Ballista                                         |    34 |  5.04% |          11 |          28 |    121-140-5 | 46.43% | 2695-2676-85 |  50.17% |  119-138-5 |    46.37% |
| Archon of Cruelty                                        |    33 |  4.90% |          55 |           0 |    124-145-2 | 46.13% | 2692-2671-88 |  50.19% |  118-139-2 |    45.95% |
| Blood Moon                                               |    33 |  4.90% |          38 |          32 |     97-147-0 | 39.75% | 2719-2669-90 |  50.46% |   94-144-0 |    39.50% |
| Clarion Conqueror                                        |    33 |  4.90% |          10 |          59 |    122-134-6 | 47.71% | 2694-2682-84 |  50.11% |  114-126-6 |    47.56% |
| Once Upon a Time                                         |    33 |  4.90% |          92 |           0 |    163-146-5 | 52.71% | 2653-2670-85 |  49.84% |  154-137-3 |    52.89% |
| Thundertrap Trainer                                      |    33 |  4.90% |         113 |           0 |    146-142-8 | 50.68% | 2670-2674-82 |  49.96% |  144-140-8 |    50.68% |
| Doomsday                                                 |    32 |  4.75% |         121 |           4 |    156-131-1 | 54.34% | 2660-2685-89 |  49.77% |  146-121-1 |    54.66% |
| Edge of Autumn                                           |    32 |  4.75% |          35 |           2 |    156-131-1 | 54.34% | 2660-2685-89 |  49.77% |  146-121-1 |    54.66% |
| Manifold Key                                             |    32 |  4.75% |          96 |           1 |    122-136-3 | 47.32% | 2694-2680-87 |  50.13% |  116-130-3 |    47.19% |
| Solitude                                                 |    32 |  4.75% |          97 |           3 |   140-137-10 | 50.52% | 2676-2679-80 |  49.97% |  134-131-8 |    50.55% |
| Street Wraith                                            |    32 |  4.75% |          51 |           1 |    156-133-1 | 53.97% | 2660-2683-89 |  49.79% |  146-123-1 |    54.26% |
| Arid Mesa                                                |    31 |  4.60% |          59 |           0 |    129-126-5 | 50.58% | 2687-2690-85 |  49.97% |  124-121-3 |    50.60% |
| Fable of the Mirror-Breaker // Reflection of Kiki-Jiki   |    31 |  4.60% |         122 |           0 |     93-138-0 | 40.26% | 2723-2678-90 |  50.41% |   89-134-0 |    39.91% |
| Mindbreak Trap                                           |    31 |  4.60% |           0 |          61 |    132-136-4 | 49.26% | 2684-2680-86 |  50.04% |  119-123-4 |    49.19% |
| Rest in Peace                                            |    31 |  4.60% |           3 |          46 |    119-127-6 | 48.41% | 2697-2689-84 |  50.07% |  113-121-6 |    48.33% |
| Seat of the Synod                                        |    31 |  4.60% |         121 |           0 |    147-133-5 | 52.46% | 2669-2683-85 |  49.87% |  143-129-5 |    52.53% |
| Abrupt Decay                                             |    30 |  4.45% |          15 |          43 |    131-125-7 | 51.14% | 2685-2691-83 |  49.95% |  126-120-7 |    51.19% |
| Boggart Trawler // Boggart Bog                           |    30 |  4.45% |          97 |           0 |    119-124-2 | 48.98% | 2697-2692-88 |  50.05% |  113-118-2 |    48.93% |
| Cloudpost                                                |    30 |  4.45% |         119 |           0 |    128-132-3 | 49.24% | 2688-2684-87 |  50.04% |  124-128-3 |    49.22% |
