Card Statistics over 676 Decks (2025 Asia Legacy Championship (2025-12-12))
+----------------------------------------------------------+-------+--------+-------------+-------------+--------------+--------+--------------+---------+------------+-----------+
|                           Card                           | # of  |  % of  | # of Copies | # of Copies | Record With  | Win %  |    Record    |  Win %  | Record vs. | Win % vs. |
|                                                          | Decks | Decks  |   (Main)    |   (Side)    |              |  With  |   Without    | Without |  Without   |  Without  |
+----------------------------------------------------------+-------+--------+-------------+-------------+--------------+--------+--------------+---------+------------+-----------+
| Emry, Lurker of the Loch                                 |    30 |  4.45% |         116 |           0 |    145-129-5 | 52.87% | 2671-2687-85 |  49.85% |  141-125-5 |    52.95% |
| Hullbreacher                                             |    30 |  4.45% |          12 |          43 |    139-129-2 | 51.85% | 2677-2687-88 |  49.91% |  132-122-2 |    51.95% |
| Scrubland                                                |    30 |  4.45% |          54 |           0 |    122-123-9 | 49.80% | 2694-2693-81 |  50.01% |  117-118-7 |    49.79% |
| Uro, Titan of Nature's Wrath                             |    30 |  4.45% |          53 |           2 |   117-118-10 | 49.80% | 2699-2698-80 |  50.01% | 114-115-10 |    49.79% |
| Dread Return                                             |    29 |  4.30% |          31 |          12 |    134-121-3 | 52.52% | 2682-2695-87 |  49.88% |  125-112-3 |    52.71% |
| Glimmerpost                                              |    29 |  4.30% |          90 |           0 |    124-127-3 | 49.41% | 2692-2689-87 |  50.03% |  121-124-3 |    49.40% |
| Green Sun's Zenith                                       |    29 |  4.30% |         102 |           0 |    122-125-5 | 49.40% | 2694-2691-85 |  50.03% |  120-123-5 |    49.40% |
| Kaldra Compleat                                          |    29 |  4.30% |          28 |           1 |    104-115-5 | 47.54% | 2712-2701-85 |  50.10% |  100-111-5 |    47.45% |
| Mystic Forge                                             |    29 |  4.30% |          62 |          23 |    104-122-3 | 46.07% | 2712-2694-87 |  50.16% |   99-117-3 |    45.89% |
| Narcomoeba                                               |    29 |  4.30% |          64 |           0 |    134-121-3 | 52.52% | 2682-2695-87 |  49.88% |  125-112-3 |    52.71% |
| Urza's Bauble                                            |    29 |  4.30% |         105 |           0 |    134-122-5 | 52.30% | 2682-2694-85 |  49.89% |  130-118-5 |    52.37% |
| Aether Spellbomb                                         |    28 |  4.15% |           7 |          21 |    132-115-5 | 53.37% | 2684-2701-85 |  49.84% |  129-112-5 |    53.46% |
| Defense Grid                                             |    28 |  4.15% |          22 |          39 |    117-120-2 | 49.37% | 2699-2696-88 |  50.03% |  116-119-2 |    49.37% |
| Duress                                                   |    28 |  4.15% |          57 |          20 |    135-113-4 | 54.37% | 2681-2703-86 |  49.80% |  134-112-4 |    54.40% |
| Kappa Cannoneer                                          |    28 |  4.15% |          95 |           1 |    134-117-5 | 53.32% | 2682-2699-85 |  49.84% |  130-113-5 |    53.43% |
| Dryad Arbor                                              |    27 |  4.01% |          32 |           0 |    114-115-4 | 49.79% | 2702-2701-86 |  50.01% |  113-114-4 |    49.78% |
| Lavinia, Azorius Renegade                                |    27 |  4.01% |           1 |          34 |    128-114-4 | 52.85% | 2688-2702-86 |  49.87% |  124-110-4 |    52.94% |
| Pinnacle Emissary                                        |    27 |  4.01% |         107 |           0 |    129-113-5 | 53.24% | 2687-2703-85 |  49.85% |  125-109-5 |    53.35% |
| Up the Beanstalk                                         |    27 |  4.01% |         108 |           0 |    121-107-9 | 52.95% | 2695-2709-81 |  49.87% |  115-101-9 |    53.11% |
| Yavimaya, Cradle of Growth                               |    27 |  4.01% |          56 |           0 |    112-111-5 | 50.22% | 2704-2705-85 |  49.99% |  108-107-5 |    50.23% |
| Portable Hole                                            |    26 |  3.86% |          11 |          24 |    101-114-4 | 47.03% | 2715-2702-86 |  50.12% |   95-108-4 |    46.86% |
| Snow-Covered Island                                      |    26 |  3.86% |          40 |           0 |    109-110-2 | 49.77% | 2707-2706-88 |  50.01% |  105-106-2 |    49.77% |
| Toxic Deluge                                             |    26 |  3.86% |           0 |          32 |    105-110-5 | 48.86% | 2711-2706-85 |  50.05% |  104-109-5 |    48.85% |
| Urza's Workshop                                          |    26 |  3.86% |         100 |           0 |    101-109-3 | 48.12% | 2715-2707-87 |  50.07% |   97-105-3 |    48.05% |
| Waterlogged Teachings // Inundated Archive               |    26 |  3.86% |          51 |           0 |    111-113-4 | 49.56% | 2705-2703-86 |  50.02% |  109-111-4 |    49.55% |
| Bitter Triumph                                           |    25 |  3.71% |          20 |          13 |    124-111-1 | 52.75% | 2692-2705-89 |  49.88% |  121-108-1 |    52.83% |
| Haywire Mite                                             |    25 |  3.71% |           1 |          26 |    118-102-4 | 53.57% | 2698-2714-86 |  49.85% |   115-99-4 |    53.67% |
| Tezzeret, Cruel Captain                                  |    25 |  3.71% |          63 |           0 |     95-108-3 | 46.84% | 2721-2708-87 |  50.12% |   91-104-3 |    46.72% |
| Animate Dead                                             |    24 |  3.56% |          64 |           0 |     97-101-2 | 49.00% | 2719-2715-88 |  50.04% |    94-98-2 |    48.97% |
| Bojuka Bog                                               |    24 |  3.56% |          24 |           0 |     105-97-6 | 51.92% | 2711-2719-84 |  49.93% |   102-94-6 |    51.98% |
| Broadside Bombardiers                                    |    24 |  3.56% |          89 |           0 |     79-106-1 | 42.74% | 2737-2710-89 |  50.24% |   75-102-1 |    42.42% |
| Eldrazi Obligator                                        |    24 |  3.56% |          49 |          12 |      68-92-1 | 42.55% | 2748-2724-89 |  50.22% |    66-90-1 |    42.36% |
| Elvish Spirit Guide                                      |    24 |  3.56% |          94 |           0 |     103-99-2 | 50.98% | 2713-2717-88 |  49.96% |    99-95-2 |    51.02% |
| Fell the Profane // Fell Mire                            |    24 |  3.56% |          83 |           0 |    109-102-2 | 51.64% | 2707-2714-88 |  49.94% |   104-97-2 |    51.72% |
| Grist, the Hunger Tide                                   |    24 |  3.56% |          31 |           1 |    104-103-4 | 50.24% | 2712-2713-86 |  49.99% |  104-103-4 |    50.24% |
| Life from the Loam                                       |    24 |  3.56% |          54 |           1 |    117-100-4 | 53.85% | 2699-2716-86 |  49.85% |   115-98-4 |    53.92% |
| Wooded Foothills                                         |    24 |  3.56% |          43 |           0 |     95-103-1 | 47.99% | 2721-2713-89 |  50.07% |   94-102-1 |    47.97% |
| Batterskull                                              |    23 |  3.41% |          12 |          12 |     115-96-4 | 54.42% | 2701-2720-86 |  49.83% |   110-91-4 |    54.63% |
| Expedition Map                                           |    23 |  3.41% |          26 |           0 |    104-102-6 | 50.47% | 2712-2714-84 |  49.98% |    99-97-6 |    50.50% |
| Tendrils of Agony                                        |    23 |  3.41% |          20 |          10 |     100-98-2 | 50.50% | 2716-2718-88 |  49.98% |    99-97-2 |    50.51% |
| Tishana's Tidebinder                                     |    23 |  3.41% |          26 |           3 |     89-100-2 | 47.12% | 2727-2716-88 |  50.10% |    88-99-2 |    47.09% |
| Voltaic Key                                              |    23 |  3.41% |          29 |           1 |      91-97-3 | 48.43% | 2725-2719-87 |  50.05% |    87-93-3 |    48.36% |
| Perilous Snare                                           |    22 |  3.26% |           0 |          24 |      75-93-2 | 44.71% | 2741-2723-88 |  50.16% |    74-92-2 |    44.64% |
| Poxwalkers                                               |    22 |  3.26% |          69 |           0 |     107-91-3 | 53.98% | 2709-2725-87 |  49.86% |   102-86-3 |    54.19% |
| Underground Mortuary                                     |    22 |  3.26% |          24 |           0 |      88-90-4 | 49.45% | 2728-2726-86 |  50.02% |    87-89-4 |    49.44% |
| Agadeem's Awakening // Agadeem, the Undercrypt           |    21 |  3.12% |          58 |           0 |      93-87-2 | 51.65% | 2723-2729-88 |  49.95% |    89-83-2 |    51.72% |
| Balustrade Spy                                           |    21 |  3.12% |          84 |           0 |      92-84-2 | 52.25% | 2724-2732-88 |  49.93% |    88-80-2 |    52.35% |
| Devourer of Destiny                                      |    21 |  3.12% |          34 |           0 |      92-87-2 | 51.38% | 2724-2729-88 |  49.95% |    89-84-2 |    51.43% |
| Leyline Binding                                          |    21 |  3.12% |          79 |           0 |      91-82-8 | 52.49% | 2725-2734-82 |  49.92% |    86-77-8 |    52.63% |
| Pact of Negation                                         |    21 |  3.12% |          81 |           0 |      93-84-2 | 52.51% | 2723-2732-88 |  49.92% |    90-81-2 |    52.60% |
| Plateau                                                  |    21 |  3.12% |          47 |           0 |      89-89-1 | 50.00% | 2727-2727-89 |  50.00% |    87-87-1 |    50.00% |
| Stony Silence                                            |    21 |  3.12% |           0 |          36 |      75-81-5 | 48.14% | 2741-2735-85 |  50.05% |    72-78-5 |    48.06% |
| Undercity Informer                                       |    21 |  3.12% |          84 |           0 |      92-84-2 | 52.25% | 2724-2732-88 |  49.93% |    88-80-2 |    52.35% |
| Witch Enchanter // Witch-Blessed Meadow                  |    21 |  3.12% |          49 |           2 |     105-90-7 | 53.71% | 2711-2726-83 |  49.86% |   101-86-5 |    53.91% |
| Brotherhood's End                                        |    20 |  2.97% |           0 |          22 |      60-85-1 | 41.44% | 2756-2731-89 |  50.22% |    60-85-1 |    41.44% |
| Gaddock Teeg                                             |    20 |  2.97% |           6 |          24 |      94-78-5 | 54.52% | 2722-2738-85 |  49.86% |    91-75-3 |    54.73% |
| Memory's Journey                                         |    20 |  2.97% |          18 |           3 |      90-81-2 | 52.60% | 2726-2735-88 |  49.92% |    86-77-2 |    52.73% |
| Paradox Engine                                           |    20 |  2.97% |           2 |          18 |      62-79-2 | 44.06% | 2754-2737-88 |  50.15% |    59-76-2 |    43.80% |
| Patchwork Automaton                                      |    20 |  2.97% |          79 |           0 |      93-80-4 | 53.67% | 2723-2736-86 |  49.88% |    91-78-4 |    53.76% |
| Spider-Punk                                              |    20 |  2.97% |          11 |          23 |     107-88-3 | 54.80% | 2709-2728-87 |  49.83% |   105-86-3 |    54.90% |
| Trinisphere                                              |    20 |  2.97% |          27 |          19 |      78-90-0 | 46.43% | 2738-2726-90 |  50.11% |    76-88-0 |    46.34% |
| Beseech the Mirror                                       |    19 |  2.82% |          41 |           8 |      83-81-2 | 50.60% | 2733-2735-88 |  49.98% |    83-81-2 |    50.60% |
| Candelabra of Tawnos                                     |    19 |  2.82% |          21 |           0 |      75-77-2 | 49.35% | 2741-2739-88 |  50.02% |    72-74-2 |    49.32% |
| Gaea's Will                                              |    19 |  2.82% |          19 |           0 |      83-81-2 | 50.60% | 2733-2735-88 |  49.98% |    83-81-2 |    50.60% |
| Nethergoyf                                               |    19 |  2.82% |          62 |           0 |      73-83-1 | 46.82% | 2743-2733-89 |  50.09% |    71-81-1 |    46.73% |
| Nihil Spellbomb                                          |    19 |  2.82% |           8 |          13 |      74-77-5 | 49.04% | 2742-2739-85 |  50.03% |    74-77-5 |    49.04% |
| Unable to Scream                                         |    19 |  2.82% |           5 |          16 |      79-78-0 | 50.32% | 2737-2738-90 |  49.99% |    75-74-0 |    50.34% |
| Xander's Lounge                                          |    19 |  2.82% |          19 |           0 |      81-73-7 | 52.48% | 2735-2743-83 |  49.93% |    77-69-7 |    52.61% |
| Back to Basics                                           |    18 |  2.67% |          11 |          18 |      74-69-7 | 51.67% | 2742-2747-83 |  49.96% |    73-68-7 |    51.69% |
| Badgermole Cub                                           |    18 |  2.67% |          63 |           0 |      85-78-4 | 52.10% | 2731-2738-86 |  49.94% |    85-78-4 |    52.10% |
| Disciple of Freyalise // Garden of Freyalise             |    18 |  2.67% |          45 |           2 |      84-73-2 | 53.46% | 2732-2743-88 |  49.90% |    80-69-2 |    53.64% |
| Ghost Vacuum                                             |    18 |  2.67% |           7 |          13 |      66-71-3 | 48.21% | 2750-2745-87 |  50.04% |    63-68-3 |    48.13% |
| Maze of Ith                                              |    18 |  2.67% |          23 |           0 |      75-74-5 | 50.32% | 2741-2742-85 |  49.99% |    71-70-5 |    50.34% |
| Mox Diamond                                              |    18 |  2.67% |          59 |           0 |      70-74-5 | 48.66% | 2746-2742-85 |  50.04% |    70-74-5 |    48.66% |
| Otawara, Soaring City                                    |    18 |  2.67% |          19 |           3 |      92-87-5 | 51.36% | 2724-2729-85 |  49.95% |    88-83-5 |    51.42% |
| Shadowy Backstreet                                       |    18 |  2.67% |          26 |           0 |      89-73-6 | 54.76% | 2727-2743-84 |  49.86% |    88-72-4 |    54.88% |
| Territory Culler                                         |    18 |  2.67% |          32 |           1 |      71-71-3 | 50.00% | 2745-2745-87 |  50.00% |    69-69-3 |    50.00% |
| Dark Depths                                              |    17 |  2.52% |          45 |           0 |      69-75-4 | 47.97% | 2747-2741-86 |  50.05% |    68-74-4 |    47.95% |
| Gaea's Cradle                                            |    17 |  2.52% |          56 |           0 |      85-75-3 | 53.07% | 2731-2741-87 |  49.91% |    85-75-3 |    53.07% |
| Griselbrand                                              |    17 |  2.52% |          34 |           0 |      68-77-0 | 46.90% | 2748-2739-90 |  50.08% |    64-73-0 |    46.72% |
| Void Mirror                                              |    17 |  2.52% |           0 |          28 |      62-78-0 | 44.29% | 2754-2738-90 |  50.14% |    60-76-0 |    44.12% |
| White Orchid Phantom                                     |    17 |  2.52% |          42 |          11 |      96-72-6 | 56.90% | 2720-2744-84 |  49.78% |    94-70-4 |    57.14% |
| Yorion, Sky Nomad                                        |    17 |  2.52% |           0 |          17 |     110-69-8 | 60.96% | 2706-2747-82 |  49.63% |   110-69-6 |    61.08% |
| Ad Nauseam                                               |    16 |  2.37% |          16 |           0 |      73-66-2 | 52.48% | 2743-2750-88 |  49.94% |    73-66-2 |    52.48% |
