Card Statistics over 944 Decks (2025 North America Legacy Championship (2025-10-12))
+--------------------------------------------------------------+-------+--------+---------------+--------+-------------+-------------+------------+-----------+--------------+--------------+------------------+-----------------+
|                             Card                             | # of  |  % of  |  Record With  | Win %  | # of Copies | # of Copies |   Record   | Win % vs. |  Record vs.  |  Win % vs.   | Record vs. Nadu, | Win % vs. Nadu, |
|                                                              | Decks | Decks  |               |  With  |   (Main)    |   (Side)    | vs. Entomb |  Entomb   | Mystic Forge | Mystic Forge |  Winged Wisdom   |  Winged Wisdom  |
+--------------------------------------------------------------+-------+--------+---------------+--------+-------------+-------------+------------+-----------+--------------+--------------+------------------+-----------------+
| Choke                                                        |     9 |  0.96% |       54-49-2 | 52.38% |           0 |          12 |    13-10-1 |    56.25% |        0-3-0 |        0.00% |            3-9-0 |          25.00% |
| Moonsnare Prototype                                          |     9 |  0.96% |       51-35-2 | 59.09% |           0 |           9 |      9-8-2 |    52.63% |        1-2-0 |       33.33% |           10-1-0 |          90.91% |
| Jack-o'-Lantern                                              |     9 |  0.96% |       41-43-0 | 48.81% |          11 |           0 |      7-7-0 |    50.00% |        4-5-0 |       44.44% |            7-7-0 |          50.00% |
| Sylvan Library                                               |     9 |  0.96% |       40-38-3 | 51.23% |           9 |           4 |     10-5-1 |    65.62% |        2-8-0 |       20.00% |            5-3-0 |          62.50% |
| Defense Grid                                                 |     9 |  0.96% |       40-38-1 | 51.27% |           5 |          19 |     3-10-0 |    23.08% |        7-2-0 |       77.78% |            6-5-0 |          54.55% |
| Peer into the Abyss                                          |     9 |  0.96% |       40-38-0 | 51.28% |           0 |           9 |      2-8-0 |    20.00% |        3-2-0 |       60.00% |            5-2-0 |          71.43% |
| Lion Sash                                                    |     9 |  0.96% |       40-32-2 | 55.41% |           9 |           0 |     11-7-1 |    60.53% |        3-6-0 |       33.33% |            3-3-1 |          50.00% |
| Untimely Malfunction                                         |     9 |  0.96% |       39-38-0 | 50.65% |           2 |          14 |      5-8-0 |    38.46% |        3-6-0 |       33.33% |            4-3-0 |          57.14% |
| Smash to Smithereens                                         |     9 |  0.96% |       37-42-0 | 46.84% |           0 |          25 |      7-7-0 |    50.00% |        4-2-0 |       66.67% |            5-8-0 |          38.46% |
| Eumidian Hatchery                                            |     9 |  0.96% |       33-37-2 | 47.22% |          29 |           0 |      6-4-0 |    60.00% |        6-5-0 |       54.55% |            5-3-1 |          61.11% |
| Jace, Wielder of Mysteries                                   |     9 |  0.96% |       32-40-0 | 44.44% |           3 |           6 |      2-8-0 |    20.00% |        6-3-0 |       66.67% |            3-5-0 |          37.50% |
| Amped Raptor                                                 |     9 |  0.96% |       29-38-1 | 43.38% |          34 |           0 |      8-9-0 |    47.06% |        1-6-0 |       14.29% |            4-5-1 |          45.00% |
| Goblin Bombardment                                           |     9 |  0.96% |       29-38-1 | 43.38% |          20 |           0 |      8-9-0 |    47.06% |        1-6-0 |       14.29% |            4-5-1 |          45.00% |
| Rakshasa's Bargain                                           |     9 |  0.96% |       26-38-6 | 41.43% |          14 |           0 |      5-4-3 |    54.17% |        4-5-0 |       44.44% |            2-6-0 |          25.00% |
| Doorkeeper Thrull                                            |     9 |  0.96% |       26-31-4 | 45.90% |          33 |           0 |     11-5-1 |    67.65% |        0-0-0 |          --- |            0-6-1 |           7.14% |
| Valgavoth, Terror Eater                                      |     9 |  0.96% |       25-34-1 | 42.50% |          10 |           2 |      5-5-0 |    50.00% |        2-3-1 |       41.67% |            5-2-0 |          71.43% |
| Urborg, Tomb of Yawgmoth                                     |     9 |  0.96% |       14-39-0 | 26.42% |          16 |           0 |      3-6-0 |    33.33% |        0-4-0 |        0.00% |            0-4-0 |           0.00% |
| Frenzied Baloth                                              |     8 |  0.85% |       49-35-3 | 58.05% |          13 |           1 |     14-9-1 |    60.42% |        4-1-0 |       80.00% |            3-3-0 |          50.00% |
| Hogaak, Arisen Necropolis                                    |     8 |  0.85% |       47-31-1 | 60.13% |          15 |           0 |      5-5-0 |    50.00% |        8-5-0 |       61.54% |            9-3-0 |          75.00% |
| Celestial Purge                                              |     8 |  0.85% |       43-34-2 | 55.70% |           0 |          13 |     5-10-0 |    33.33% |        6-3-0 |       66.67% |            9-3-0 |          75.00% |
| Phyrexian Devourer                                           |     8 |  0.85% |       42-32-2 | 56.58% |           8 |           0 |      8-3-0 |    72.73% |        3-8-0 |       27.27% |            4-6-1 |          40.91% |
| Knight of the Reliquary                                      |     8 |  0.85% |       40-36-2 | 52.56% |          22 |           1 |     11-7-1 |    60.53% |        3-4-0 |       42.86% |            4-7-0 |          36.36% |
| Warping Wail                                                 |     8 |  0.85% |       39-37-0 | 51.32% |           0 |          10 |     9-11-0 |    45.00% |        3-5-0 |       37.50% |            7-3-0 |          70.00% |
| Phantom Blade                                                |     8 |  0.85% |       35-28-2 | 55.38% |           8 |           0 |     10-5-1 |    65.62% |        3-6-0 |       33.33% |            3-3-1 |          50.00% |
| Batterskull                                                  |     8 |  0.85% |       33-33-0 | 50.00% |           3 |           5 |      5-9-0 |    35.71% |        2-4-0 |       33.33% |            6-2-0 |          75.00% |
| Nimble Obstructionist                                        |     8 |  0.85% |       32-31-7 | 50.71% |           8 |           0 |      8-5-2 |    60.00% |        2-2-0 |       50.00% |            5-7-1 |          42.31% |
| Elegant Parlor                                               |     8 |  0.85% |       29-35-1 | 45.38% |           8 |           0 |    10-10-0 |    50.00% |        1-6-0 |       14.29% |            4-5-1 |          45.00% |
| Static Prison                                                |     8 |  0.85% |       28-35-1 | 44.53% |           4 |          11 |      3-7-0 |    30.00% |        4-6-0 |       40.00% |            2-6-1 |          27.78% |
| Abhorrent Oculus                                             |     8 |  0.85% |       26-32-3 | 45.08% |          13 |           0 |      6-6-0 |    50.00% |        0-3-0 |        0.00% |            3-5-1 |          38.89% |
| Jace, the Mind Sculptor                                      |     8 |  0.85% |       26-31-3 | 45.83% |          12 |           1 |      2-5-0 |    28.57% |        1-2-0 |       33.33% |            2-8-0 |          20.00% |
| Steam Vents                                                  |     8 |  0.85% |       25-38-2 | 40.00% |           8 |           0 |      5-3-0 |    62.50% |        1-3-0 |       25.00% |            3-6-0 |          33.33% |
| Kappa Cannoneer                                              |     8 |  0.85% |       25-32-2 | 44.07% |          21 |           4 |      5-9-0 |    35.71% |        1-2-0 |       33.33% |            3-5-0 |          37.50% |
| Intuition                                                    |     8 |  0.85% |       22-29-0 | 43.14% |          16 |           3 |      2-5-0 |    28.57% |        2-1-0 |       66.67% |            4-5-0 |          44.44% |
| Supreme Verdict                                              |     8 |  0.85% |       18-38-3 | 33.05% |           5 |           5 |      5-5-0 |    50.00% |        0-3-0 |        0.00% |            1-8-0 |          11.11% |
| Caves of Chaos Adventurer                                    |     7 |  0.75% |       42-30-2 | 58.11% |          25 |           0 |      7-7-0 |    50.00% |        4-2-0 |       66.67% |            5-7-1 |          42.31% |
| Leyline of Sanctity                                          |     7 |  0.75% |       38-39-0 | 49.35% |           4 |          23 |      2-6-0 |    25.00% |        4-7-0 |       36.36% |            4-5-0 |          44.44% |
| Waterlogged Teachings // Inundated Archive                   |     7 |  0.75% |       37-25-4 | 59.09% |          11 |           0 |      7-6-2 |    53.33% |        3-2-1 |       58.33% |            5-2-0 |          71.43% |
| Plague Engineer                                              |     7 |  0.75% |       36-36-1 | 50.00% |           0 |          10 |      8-6-0 |    57.14% |        2-3-0 |       40.00% |            2-7-0 |          22.22% |
| Debt to the Deathless                                        |     7 |  0.75% |       36-31-0 | 53.73% |           0 |           7 |      2-7-0 |    22.22% |        3-2-0 |       60.00% |            4-1-0 |          80.00% |
| Goblin Charbelcher                                           |     7 |  0.75% |       33-32-0 | 50.77% |           4 |          24 |      6-6-0 |    50.00% |        3-4-0 |       42.86% |            5-4-0 |          55.56% |
| Necrodominance                                               |     7 |  0.75% |       32-30-0 | 51.61% |          10 |           0 |      2-7-0 |    22.22% |        3-2-0 |       60.00% |            4-1-0 |          80.00% |
| Candy Trail                                                  |     7 |  0.75% |       32-30-0 | 51.61% |           7 |           0 |      2-7-0 |    22.22% |        3-2-0 |       60.00% |            4-1-0 |          80.00% |
| Surge Node                                                   |     7 |  0.75% |       32-30-0 | 51.61% |           0 |           9 |      2-7-0 |    22.22% |        3-2-0 |       60.00% |            4-1-0 |          80.00% |
| Curie, Emergent Intelligence                                 |     7 |  0.75% |       30-32-4 | 48.48% |          15 |           0 |      7-7-0 |    50.00% |        0-3-0 |        0.00% |            2-0-1 |          83.33% |
| Leyline Binding                                              |     7 |  0.75% |       28-32-1 | 46.72% |          24 |           0 |      2-6-1 |    27.78% |        4-4-0 |       50.00% |            6-3-0 |          66.67% |
| Bone Shards                                                  |     7 |  0.75% |       28-28-1 | 50.00% |           2 |          11 |      0-6-0 |     0.00% |        2-2-0 |       50.00% |            5-1-0 |          83.33% |
