Card Statistics over 944 Decks (2025 North America Legacy Championship (2025-10-12))
+--------------------------------------------------------------+-------+--------+-------------+-------------+-------------+--------+-------------+---------+------------+-----------+------------+-----------+--------------+--------------+------------------+-----------------+------------+------------+---------------+---------------+------------+------------+-------------+-------------+
|                             Card                             | # of  |  % of  | # of Copies | # of Copies | Record With | Win %  |   Record    |  Win %  | Record vs. | Win % vs. |   Record   | Win % vs. |  Record vs.  |  Win % vs.   | Record vs. Nadu, | Win % vs. Nadu, | # of Decks | % of Decks |  # of Copies  |  # of Copies  |    # of    |    % of    | # of Copies | # of Copies |
|                                                              | Decks | Decks  |   (Main)    |   (Side)    |             |  With  |   Without   | Without |  Without   |  Without  | vs. Entomb |  Entomb   | Mystic Forge | Mystic Forge |  Winged Wisdom   |  Winged Wisdom  |   (T217)   |   (T217)   | (Main) (T217) | (Side) (T217) | Decks (T8) | Decks (T8) | (Main) (T8) | (Side) (T8) |
+--------------------------------------------------------------+-------+--------+-------------+-------------+-------------+--------+-------------+---------+------------+-----------+------------+-----------+--------------+--------------+------------------+-----------------+------------+------------+---------------+---------------+------------+------------+-------------+-------------+
| Echoing Deeps                                                |    13 |  1.39% |          16 |           1 |     59-52-0 | 53.15% | 3892-3899-0 |  49.96% |    57-50-0 |    53.27% |     9-10-0 |    47.37% |        1-8-0 |       11.11% |            7-7-0 |          50.00% |          3 |      1.40% |             4 |             0 |          0 |        --- |           0 |           0 |
| Molten Collapse                                              |    13 |  1.39% |          15 |           6 |     44-52-0 | 45.83% | 3907-3899-0 |  50.05% |    43-51-0 |    45.74% |      4-9-0 |    30.77% |        0-5-0 |        0.00% |            3-3-0 |          50.00% |          1 |      0.47% |             0 |             2 |          0 |        --- |           0 |           0 |
| Craterhoof Behemoth                                          |    13 |  1.39% |          13 |           0 |     80-55-0 | 59.26% | 3871-3896-0 |  49.84% |    79-54-0 |    59.40% |     11-8-0 |    57.89% |        5-5-0 |       50.00% |           7-10-0 |          41.18% |          5 |      2.34% |             5 |             0 |          0 |        --- |           0 |           0 |
| Yorion, Sky Nomad                                            |    13 |  1.39% |          13 |           0 |     64-47-0 | 57.66% | 3887-3904-0 |  49.89% |    62-45-0 |    57.94% |    13-10-0 |    56.52% |        4-9-0 |       30.77% |           11-5-0 |          68.75% |          4 |      1.87% |             4 |             0 |          0 |        --- |           0 |           0 |
| Kaldra Compleat                                              |    13 |  1.39% |          13 |           0 |     55-48-0 | 53.40% | 3896-3903-0 |  49.96% |    55-48-0 |    53.40% |    12-11-0 |    52.17% |        3-9-0 |       25.00% |            4-6-0 |          40.00% |          3 |      1.40% |             3 |             0 |          0 |        --- |           0 |           0 |
| Runehorn Hellkite                                            |    13 |  1.39% |          13 |           0 |     44-58-0 | 43.14% | 3907-3893-0 |  50.09% |    43-57-0 |    43.00% |     3-16-0 |    15.79% |        8-4-0 |       66.67% |            2-8-0 |          20.00% |          1 |      0.47% |             1 |             0 |          0 |        --- |           0 |           0 |
| Path to Exile                                                |    13 |  1.39% |           0 |          17 |     51-47-0 | 52.04% | 3900-3904-0 |  49.97% |    51-47-0 |    52.04% |    14-12-0 |    53.85% |        3-8-0 |       27.27% |            2-5-0 |          28.57% |          3 |      1.40% |             0 |             4 |          0 |        --- |           0 |           0 |
| Void Snare                                                   |    13 |  1.39% |           0 |          13 |     44-56-0 | 44.00% | 3907-3895-0 |  50.08% |    43-55-0 |    43.88% |     4-14-0 |    22.22% |        7-4-0 |       63.64% |            3-9-0 |          25.00% |          1 |      0.47% |             0 |             1 |          0 |        --- |           0 |           0 |
| Unmask                                                       |    12 |  1.28% |          38 |           2 |     48-52-0 | 48.00% | 3903-3899-0 |  50.03% |    48-52-0 |    48.00% |     10-8-0 |    55.56% |        5-3-0 |       62.50% |            4-8-0 |          33.33% |          3 |      1.40% |             8 |             1 |          0 |        --- |           0 |           0 |
| Cunning Wish                                                 |    12 |  1.28% |          30 |           3 |     41-47-0 | 46.59% | 3910-3904-0 |  50.04% |    41-47-0 |    46.59% |      6-8-0 |    42.86% |        5-6-0 |       45.45% |            7-5-0 |          58.33% |          1 |      0.47% |             2 |             0 |          0 |        --- |           0 |           0 |
| Poxwalkers                                                   |    12 |  1.28% |          23 |           0 |     60-59-0 | 50.42% | 3891-3892-0 |  49.99% |    59-58-0 |    50.43% |      8-9-0 |    47.06% |       6-11-0 |       35.29% |            8-8-0 |          50.00% |          5 |      2.34% |            10 |             0 |          0 |        --- |           0 |           0 |
| Flickerwisp                                                  |    12 |  1.28% |          23 |           0 |     56-43-0 | 56.57% | 3895-3908-0 |  49.92% |    55-42-0 |    56.70% |    14-10-0 |    58.33% |        3-7-0 |       30.00% |            6-5-0 |          54.55% |          3 |      1.40% |             5 |             0 |          0 |        --- |           0 |           0 |
| Springheart Nantuko                                          |    12 |  1.28% |          21 |           0 |     81-51-0 | 61.36% | 3870-3900-0 |  49.81% |    80-50-0 |    61.54% |     11-9-0 |    55.00% |        7-4-0 |       63.64% |            9-5-0 |          64.29% |          6 |      2.80% |            11 |             0 |          0 |        --- |           0 |           0 |
| Aether Spellbomb                                             |    12 |  1.28% |          12 |           1 |     43-44-0 | 49.43% | 3908-3907-0 |  50.01% |    43-44-0 |    49.43% |     7-10-0 |    41.18% |        3-4-0 |       42.86% |            4-6-0 |          40.00% |          1 |      0.47% |             1 |             0 |          0 |        --- |           0 |           0 |
| Bridge from Below                                            |    12 |  1.28% |          12 |           0 |     60-59-0 | 50.42% | 3891-3892-0 |  49.99% |    59-58-0 |    50.43% |      8-9-0 |    47.06% |       6-11-0 |       35.29% |            8-8-0 |          50.00% |          5 |      2.34% |             5 |             0 |          0 |        --- |           0 |           0 |
| Lair of the Hydra                                            |    12 |  1.28% |          12 |           0 |     54-51-0 | 51.43% | 3897-3900-0 |  49.98% |    54-51-0 |    51.43% |     12-9-0 |    57.14% |        4-6-0 |       40.00% |            3-7-0 |          30.00% |          3 |      1.40% |             3 |             0 |          0 |        --- |           0 |           0 |
| Pre-War Formalwear                                           |    12 |  1.28% |          12 |           0 |     48-44-0 | 52.17% | 3903-3907-0 |  49.97% |    48-44-0 |    52.17% |     11-8-0 |    57.89% |        3-8-0 |       27.27% |            3-5-0 |          37.50% |          2 |      0.93% |             2 |             0 |          0 |        --- |           0 |           0 |
| Bonecrusher Giant // Stomp                                   |    12 |  1.28% |           4 |          22 |     54-52-0 | 50.94% | 3897-3899-0 |  49.99% |    54-52-0 |    50.94% |     6-12-0 |    33.33% |        6-5-0 |       54.55% |            6-6-0 |          50.00% |          3 |      1.40% |             0 |             4 |          0 |        --- |           0 |           0 |
| Eldrazi Obligator                                            |    12 |  1.28% |           3 |          19 |     56-58-0 | 49.12% | 3895-3893-0 |  50.01% |    55-57-0 |    49.11% |     10-6-0 |    62.50% |        3-7-0 |       30.00% |           11-6-0 |          64.71% |          4 |      1.87% |             0 |             8 |          0 |        --- |           0 |           0 |
| Silent Gravestone                                            |    12 |  1.28% |           2 |          10 |     64-54-0 | 54.24% | 3887-3897-0 |  49.94% |    63-53-0 |    54.31% |     8-14-0 |    36.36% |        4-5-0 |       44.44% |            6-5-0 |          54.55% |          4 |      1.87% |             0 |             4 |          0 |        --- |           0 |           0 |
| Approach of the Second Sun                                   |    12 |  1.28% |           1 |          11 |     43-53-0 | 44.79% | 3908-3898-0 |  50.06% |    41-51-0 |    44.57% |     4-12-0 |    25.00% |        8-5-0 |       61.54% |            3-9-0 |          25.00% |          1 |      0.47% |             0 |             1 |          0 |        --- |           0 |           0 |
| Pulverize                                                    |    12 |  1.28% |           0 |          12 |     35-50-0 | 41.18% | 3916-3901-0 |  50.10% |    34-49-0 |    40.96% |     4-12-0 |    25.00% |        7-4-0 |       63.64% |            2-8-0 |          20.00% |          0 |        --- |             0 |             0 |          0 |        --- |           0 |           0 |
| Vault of Whispers                                            |    11 |  1.18% |          43 |           0 |     38-43-0 | 46.91% | 3913-3908-0 |  50.03% |    38-43-0 |    46.91% |     2-10-0 |    16.67% |        3-3-0 |       50.00% |            4-3-0 |          57.14% |          2 |      0.93% |             8 |             0 |          0 |        --- |           0 |           0 |
| Thoughtcast                                                  |    11 |  1.18% |          43 |           0 |     36-47-0 | 43.37% | 3915-3904-0 |  50.07% |    36-47-0 |    43.37% |     7-13-0 |    35.00% |        2-2-0 |       50.00% |            4-9-0 |          30.77% |          1 |      0.47% |             4 |             0 |          0 |        --- |           0 |           0 |
| Chord of Calling                                             |    11 |  1.18% |          40 |           0 |     73-47-0 | 60.83% | 3878-3904-0 |  49.83% |    72-46-0 |    61.02% |    10-10-0 |    50.00% |        6-3-0 |       66.67% |            8-5-0 |          61.54% |          5 |      2.34% |            18 |             0 |          0 |        --- |           0 |           0 |
| Recruiter of the Guard                                       |    11 |  1.18% |          39 |           0 |     54-41-0 | 56.84% | 3897-3910-0 |  49.92% |    52-39-0 |    57.14% |     13-8-0 |    61.90% |        3-8-0 |       27.27% |            5-4-0 |          55.56% |          3 |      1.40% |            11 |             0 |          0 |        --- |           0 |           0 |
| Personal Tutor                                               |    11 |  1.18% |          33 |           1 |     47-46-0 | 50.54% | 3904-3905-0 |  49.99% |    47-46-0 |    50.54% |     4-12-0 |    25.00% |        4-5-0 |       44.44% |            3-6-0 |          33.33% |          2 |      0.93% |             8 |             0 |          0 |        --- |           0 |           0 |
| Metallic Rebuke                                              |    11 |  1.18% |          27 |           0 |     37-47-0 | 44.05% | 3914-3904-0 |  50.06% |    37-47-0 |    44.05% |     7-14-0 |    33.33% |        2-2-0 |       50.00% |            3-8-0 |          27.27% |          1 |      0.47% |             2 |             0 |          0 |        --- |           0 |           0 |
| Skyclave Apparition                                          |    11 |  1.18% |          26 |           1 |     55-40-0 | 57.89% | 3896-3911-0 |  49.90% |    54-39-0 |    58.06% |     13-9-0 |    59.09% |        3-7-0 |       30.00% |            6-5-0 |          54.55% |          3 |      1.40% |             7 |             0 |          0 |        --- |           0 |           0 |
| Kolaghan's Command                                           |    11 |  1.18% |          18 |           3 |     45-44-0 | 50.56% | 3906-3907-0 |  49.99% |    45-44-0 |    50.56% |     10-6-0 |    62.50% |        2-6-0 |       25.00% |            5-8-0 |          38.46% |          3 |      1.40% |             6 |             0 |          0 |        --- |           0 |           0 |
