Card Statistics over 1308 Decks (Legacy Challenge 2025-12-03 (2025-12-03), Legacy Last Chance 2025-12-01 (2025-12-01), 2025 EU Legacy Championship (2025-11-29), Legacy Last Chance 2025-12-01 (2025-12-01), Legacy Challenge 32 2025-11-30 - 1 (2025-11-30), Legacy Last Chance 2025-12-02 (2025-12-02), Legacy Last Chance 2025-12-03 (2025-12-03), Legacy Challenge 32 2025-11-30 - 2 (2025-11-30))
+------------------------------------------------------------+-------+--------+------------+------------+-------------+--------+-------------+---------+------------+-----------+------------+------------+---------------+---------------+
|                            Card                            | # of  |  % of  | # of Decks | # of Decks | Record With | Win %  |   Record    |  Win %  | Record vs. | Win % vs. | # of Decks | % of Decks |  # of Decks   |  # of Decks   |
|                                                            | Decks | Decks  |   (Main)   |   (Side)   |             |  With  |   Without   | Without |  Without   |  Without  |   (T130)   |   (T130)   | (Main) (T130) | (Side) (T130) |
+------------------------------------------------------------+-------+--------+------------+------------+-------------+--------+-------------+---------+------------+-----------+------------+------------+---------------+---------------+
| Debt to the Deathless                                      |     9 |  1.06% |          0 |          9 |     44-35-0 | 55.70% | 4153-4162-0 |  49.95% |    44-35-0 |    55.70% |          2 |      1.80% |             0 |             2 |
| Devourer of Destiny                                        |     9 |  1.06% |          9 |          0 |     31-33-0 | 48.44% | 4166-4164-0 |  50.01% |    30-32-0 |    48.39% |          1 |      0.90% |             1 |             0 |
| Feed the Swarm                                             |     9 |  1.06% |          0 |          9 |     32-36-0 | 47.06% | 4165-4161-0 |  50.02% |    32-36-0 |    47.06% |          1 |      0.90% |             0 |             1 |
| Frenzied Baloth                                            |     9 |  1.06% |          8 |          1 |     23-42-0 | 35.38% | 4174-4155-0 |  50.11% |    23-42-0 |    35.38% |          0 |        --- |             0 |             0 |
| Mystical Dispute                                           |     9 |  1.06% |          0 |          9 |     42-39-0 | 51.85% | 4155-4158-0 |  49.98% |    41-38-0 |    51.90% |          3 |      2.70% |             0 |             3 |
| Peer into the Abyss                                        |     9 |  1.06% |          0 |          9 |     39-36-0 | 52.00% | 4158-4161-0 |  49.98% |    39-36-0 |    52.00% |          2 |      1.80% |             0 |             2 |
| Sanctifier en-Vec                                          |     9 |  1.06% |          1 |          9 |     30-32-0 | 48.39% | 4167-4165-0 |  50.01% |    30-32-0 |    48.39% |          1 |      0.90% |             0 |             1 |
| Sheoldred, the Apocalypse                                  |     9 |  1.06% |          2 |          8 |     27-30-0 | 47.37% | 4170-4167-0 |  50.02% |    26-29-0 |    47.27% |          1 |      0.90% |             0 |             1 |
| Shoot the Sheriff                                          |     9 |  1.06% |          5 |          4 |     33-36-0 | 47.83% | 4164-4161-0 |  50.02% |    32-35-0 |    47.76% |          1 |      0.90% |             1 |             0 |
| Snow-Covered Plains                                        |     9 |  1.06% |          9 |          0 |     26-32-0 | 44.83% | 4171-4165-0 |  50.04% |    25-31-0 |    44.64% |          0 |        --- |             0 |             0 |
| Step Through                                               |     9 |  1.06% |          9 |          0 |     33-29-0 | 53.23% | 4164-4168-0 |  49.98% |    33-29-0 |    53.23% |          0 |        --- |             0 |             0 |
| Stifle                                                     |     9 |  1.06% |          9 |          0 |     34-34-0 | 50.00% | 4163-4163-0 |  50.00% |    34-34-0 |    50.00% |          2 |      1.80% |             2 |             0 |
| Sylvan Library                                             |     9 |  1.06% |          3 |          6 |     22-34-0 | 39.29% | 4175-4163-0 |  50.07% |    22-34-0 |    39.29% |          0 |        --- |             0 |             0 |
| The Stone Brain                                            |     9 |  1.06% |          0 |          9 |     30-33-0 | 47.62% | 4167-4164-0 |  50.02% |    30-33-0 |    47.62% |          1 |      0.90% |             0 |             1 |
| Torpor Orb                                                 |     9 |  1.06% |          3 |          6 |     32-36-0 | 47.06% | 4165-4161-0 |  50.02% |    32-36-0 |    47.06% |          1 |      0.90% |             1 |             0 |
| Toxicrene                                                  |     9 |  1.06% |          0 |          9 |     33-33-0 | 50.00% | 4164-4164-0 |  50.00% |    33-33-0 |    50.00% |          2 |      1.80% |             0 |             2 |
| Ulamog, the Ceaseless Hunger                               |     9 |  1.06% |          9 |          0 |     21-33-0 | 38.89% | 4176-4164-0 |  50.07% |    21-33-0 |    38.89% |          0 |        --- |             0 |             0 |
| Unclaimed Territory                                        |     9 |  1.06% |          9 |          0 |     38-32-0 | 54.29% | 4159-4165-0 |  49.96% |    38-32-0 |    54.29% |          2 |      1.80% |             2 |             0 |
| Untimely Malfunction                                       |     9 |  1.06% |          0 |          9 |     26-34-0 | 43.33% | 4171-4163-0 |  50.05% |    25-33-0 |    43.10% |          0 |        --- |             0 |             0 |
| Allosaurus Shepherd                                        |     8 |  0.94% |          8 |          0 |     33-28-0 | 54.10% | 4164-4169-0 |  49.97% |    33-28-0 |    54.10% |          1 |      0.90% |             1 |             0 |
| Candy Trail                                                |     8 |  0.94% |          8 |          0 |     35-29-0 | 54.69% | 4162-4168-0 |  49.96% |    35-29-0 |    54.69% |          1 |      0.90% |             1 |             0 |
| Disciple of Freyalise // Garden of Freyalise               |     8 |  0.94% |          7 |          3 |     35-28-0 | 55.56% | 4162-4169-0 |  49.96% |    35-28-0 |    55.56% |          1 |      0.90% |             1 |             1 |
| Hurkyl's Recall                                            |     8 |  0.94% |          0 |          8 |     41-31-0 | 56.94% | 4156-4166-0 |  49.94% |    40-30-0 |    57.14% |          2 |      1.80% |             0 |             2 |
| Kolaghan's Command                                         |     8 |  0.94% |          8 |          0 |     28-25-0 | 52.83% | 4169-4172-0 |  49.98% |    28-25-0 |    52.83% |          0 |        --- |             0 |             0 |
| Legolas's Quick Reflexes                                   |     8 |  0.94% |          6 |          6 |     22-29-0 | 43.14% | 4175-4168-0 |  50.04% |    22-29-0 |    43.14% |          0 |        --- |             0 |             0 |
| Necrodominance                                             |     8 |  0.94% |          8 |          0 |     30-27-0 | 52.63% | 4167-4170-0 |  49.98% |    30-27-0 |    52.63% |          0 |        --- |             0 |             0 |
| Nurturing Peatland                                         |     8 |  0.94% |          8 |          0 |     23-28-0 | 45.10% | 4174-4169-0 |  50.03% |    23-28-0 |    45.10% |          0 |        --- |             0 |             0 |
| Questing Druid // Seek the Beast                           |     8 |  0.94% |          8 |          1 |     21-28-0 | 42.86% | 4176-4169-0 |  50.04% |    21-28-0 |    42.86% |          0 |        --- |             0 |             0 |
| Stern Scolding                                             |     8 |  0.94% |          7 |          1 |     21-29-0 | 42.00% | 4176-4168-0 |  50.05% |    21-29-0 |    42.00% |          1 |      0.90% |             1 |             0 |
| Thoughtcast                                                |     8 |  0.94% |          8 |          0 |     29-29-0 | 50.00% | 4168-4168-0 |  50.00% |    27-27-0 |    50.00% |          2 |      1.80% |             2 |             0 |
| Bone Shards                                                |     7 |  0.83% |          0 |          7 |     23-26-0 | 46.94% | 4174-4171-0 |  50.02% |    22-25-0 |    46.81% |          0 |        --- |             0 |             0 |
| Counterbalance                                             |     7 |  0.83% |          5 |          2 |     32-26-0 | 55.17% | 4165-4171-0 |  49.96% |    32-26-0 |    55.17% |          1 |      0.90% |             1 |             0 |
| Cryptic Coat                                               |     7 |  0.83% |          7 |          0 |     22-22-0 | 50.00% | 4175-4175-0 |  50.00% |    22-22-0 |    50.00% |          0 |        --- |             0 |             0 |
| Dead // Gone                                               |     7 |  0.83% |          0 |          7 |     28-27-0 | 50.91% | 4169-4170-0 |  49.99% |    28-27-0 |    50.91% |          1 |      0.90% |             0 |             1 |
| Jace, the Mind Sculptor                                    |     7 |  0.83% |          7 |          0 |     20-27-0 | 42.55% | 4177-4170-0 |  50.04% |    20-27-0 |    42.55% |          0 |        --- |             0 |             0 |
| Karn's Sylex                                               |     7 |  0.83% |          7 |          0 |     18-24-0 | 42.86% | 4179-4173-0 |  50.04% |    18-24-0 |    42.86% |          0 |        --- |             0 |             0 |
| Outland Liberator // Frenzied Trapbreaker                  |     7 |  0.83% |          3 |          4 |     26-23-0 | 53.06% | 4171-4174-0 |  49.98% |    26-23-0 |    53.06% |          0 |        --- |             0 |             0 |
| Phyrexian Dreadnought                                      |     7 |  0.83% |          7 |          0 |     27-25-0 | 51.92% | 4170-4172-0 |  49.99% |    27-25-0 |    51.92% |          1 |      0.90% |             1 |             0 |
| Rakshasa's Bargain                                         |     7 |  0.83% |          7 |          0 |     26-23-0 | 53.06% | 4171-4174-0 |  49.98% |    26-23-0 |    53.06% |          2 |      1.80% |             2 |             0 |
| Tainted Indulgence                                         |     7 |  0.83% |          7 |          0 |     39-30-0 | 56.52% | 4158-4167-0 |  49.95% |    37-28-0 |    56.92% |          3 |      2.70% |             3 |             0 |
| Terminus                                                   |     7 |  0.83% |          5 |          4 |     36-24-0 | 60.00% | 4161-4173-0 |  49.93% |    36-24-0 |    60.00% |          2 |      1.80% |             1 |             1 |
| Unearth                                                    |     7 |  0.83% |          4 |          3 |     31-23-0 | 57.41% | 4166-4174-0 |  49.95% |    30-22-0 |    57.69% |          1 |      0.90% |             1 |             0 |
| Void Snare                                                 |     7 |  0.83% |          0 |          7 |     15-24-0 | 38.46% | 4182-4173-0 |  50.05% |    15-24-0 |    38.46% |          0 |        --- |             0 |             0 |
| Wan Shi Tong, Librarian                                    |     7 |  0.83% |          7 |          0 |     35-27-0 | 56.45% | 4162-4170-0 |  49.95% |    34-26-0 |    56.67% |          2 |      1.80% |             2 |             0 |
| Archon of Emeria                                           |     6 |  0.71% |          6 |          1 |     19-21-0 | 47.50% | 4178-4176-0 |  50.01% |    19-21-0 |    47.50% |          0 |        --- |             0 |             0 |
| Cast into the Fire                                         |     6 |  0.71% |          0 |          6 |     29-22-0 | 56.86% | 4168-4175-0 |  49.96% |    29-22-0 |    56.86% |          2 |      1.80% |             0 |             2 |
| Caves of Chaos Adventurer                                  |     6 |  0.71% |          6 |          0 |     22-21-0 | 51.16% | 4175-4176-0 |  49.99% |    22-21-0 |    51.16% |          0 |        --- |             0 |             0 |
| Cephalid Coliseum                                          |     6 |  0.71% |          6 |          0 |     22-23-0 | 48.89% | 4175-4174-0 |  50.01% |    22-23-0 |    48.89% |          0 |        --- |             0 |             0 |
| Day's Undoing                                              |     6 |  0.71% |          6 |          0 |     17-23-0 | 42.50% | 4180-4174-0 |  50.04% |    17-23-0 |    42.50% |          0 |        --- |             0 |             0 |
