Card Statistics over 1308 Decks (Legacy Challenge 2025-12-03 (2025-12-03), Legacy Last Chance 2025-12-01 (2025-12-01), 2025 EU Legacy Championship (2025-11-29), Legacy Last Chance 2025-12-01 (2025-12-01), Legacy Challenge 32 2025-11-30 - 1 (2025-11-30), Legacy Last Chance 2025-12-02 (2025-12-02), Legacy Last Chance 2025-12-03 (2025-12-03), Legacy Challenge 32 2025-11-30 - 2 (2025-11-30))
+------------------------------------------------------------+-------+--------+------------+------------+-------------+--------+-------------+---------+------------+-----------+------------+------------+---------------+---------------+
|                            Card                            | # of  |  % of  | # of Decks | # of Decks | Record With | Win %  |   Record    |  Win %  | Record vs. | Win % vs. | # of Decks | % of Decks |  # of Decks   |  # of Decks   |
|                                                            | Decks | Decks  |   (Main)   |   (Side)   |             |  With  |   Without   | Without |  Without   |  Without  |   (T130)   |   (T130)   | (Main) (T130) | (Side) (T130) |
+------------------------------------------------------------+-------+--------+------------+------------+-------------+--------+-------------+---------+------------+-----------+------------+------------+---------------+---------------+
| Windswept Heath                                            |    80 |  9.43% |         80 |          0 |   283-285-0 | 49.82% | 3914-3912-0 |  50.01% |  264-266-0 |    49.81% |         10 |      9.01% |            10 |             0 |
| Cavern of Souls                                            |    78 |  9.20% |         77 |          2 |   290-279-0 | 50.97% | 3907-3918-0 |  49.93% |  264-253-0 |    51.06% |          9 |      8.11% |             9 |             0 |
| Cabal Therapy                                              |    76 |  8.96% |         68 |         13 |   281-277-0 | 50.36% | 3916-3920-0 |  49.97% |  265-261-0 |    50.38% |          8 |      7.21% |             8 |             1 |
| Meticulous Archive                                         |    76 |  8.96% |         76 |          0 |   237-276-0 | 46.20% | 3960-3921-0 |  50.25% |  213-252-0 |    45.81% |          5 |      4.50% |             5 |             0 |
| Abrade                                                     |    75 |  8.84% |          0 |         75 |   269-276-0 | 49.36% | 3928-3921-0 |  50.04% |  242-249-0 |    49.29% |          7 |      6.31% |             0 |             7 |
| Containment Priest                                         |    72 |  8.49% |         13 |         59 |   230-254-0 | 47.52% | 3967-3943-0 |  50.15% |  209-233-0 |    47.29% |          5 |      4.50% |             0 |             5 |
| Magus of the Moon                                          |    72 |  8.49% |         44 |         33 |   239-279-0 | 46.14% | 3958-3918-0 |  50.25% |  224-264-0 |    45.90% |          4 |      3.60% |             3 |             1 |
| Spell Pierce                                               |    72 |  8.49% |         70 |          2 |   224-270-0 | 45.34% | 3973-3927-0 |  50.29% |  203-249-0 |    44.91% |          6 |      5.41% |             6 |             0 |
| Hedge Maze                                                 |    71 |  8.37% |         71 |          0 |   258-255-0 | 50.29% | 3939-3942-0 |  49.98% |  238-235-0 |    50.32% |         10 |      9.01% |            10 |             0 |
| Liquimetal Coating                                         |    71 |  8.37% |          0 |         71 |   233-261-0 | 47.17% | 3964-3936-0 |  50.18% |  214-242-0 |    46.93% |          6 |      5.41% |             0 |             6 |
| Chrome Mox                                                 |    70 |  8.25% |         69 |          1 |   237-262-0 | 47.49% | 3960-3935-0 |  50.16% |  221-246-0 |    47.32% |          7 |      6.31% |             7 |             0 |
| Emrakul, the Aeons Torn                                    |    70 |  8.25% |         65 |          5 |   267-269-0 | 49.81% | 3930-3928-0 |  50.01% |  250-252-0 |    49.80% |         11 |      9.91% |            11 |             0 |
| Thassa's Oracle                                            |    70 |  8.25% |         70 |          1 |   270-252-0 | 51.72% | 3927-3945-0 |  49.89% |  251-233-0 |    51.86% |          9 |      8.11% |             9 |             0 |
| Lion's Eye Diamond                                         |    67 |  7.90% |         66 |          1 |   250-236-0 | 51.44% | 3947-3961-0 |  49.91% |  231-217-0 |    51.56% |          8 |      7.21% |             8 |             0 |
| Prismatic Vista                                            |    67 |  7.90% |         67 |          0 |   226-242-0 | 48.29% | 3971-3955-0 |  50.10% |  211-227-0 |    48.17% |          8 |      7.21% |             8 |             0 |
| Abrupt Decay                                               |    66 |  7.78% |         21 |         52 |   241-237-0 | 50.42% | 3956-3960-0 |  49.97% |  222-218-0 |    50.45% |          7 |      6.31% |             2 |             6 |
| Thundertrap Trainer                                        |    65 |  7.67% |         65 |          0 |   259-241-0 | 51.80% | 3938-3956-0 |  49.89% |  247-229-0 |    51.89% |         15 |     13.51% |            15 |             0 |
| Show and Tell                                              |    64 |  7.55% |         61 |          4 |   270-249-0 | 52.02% | 3927-3948-0 |  49.87% |  253-232-0 |    52.16% |         12 |     10.81% |            11 |             2 |
| Bojuka Bog                                                 |    63 |  7.43% |         62 |          1 |   210-216-0 | 49.30% | 3987-3981-0 |  50.04% |  200-206-0 |    49.26% |          4 |      3.60% |             4 |             0 |
| Dress Down                                                 |    63 |  7.43% |         48 |         17 |   238-237-0 | 50.11% | 3959-3960-0 |  49.99% |  221-220-0 |    50.11% |         12 |     10.81% |            10 |             2 |
| Once Upon a Time                                           |    62 |  7.31% |         61 |          1 |   216-213-0 | 50.35% | 3981-3984-0 |  49.98% |  205-202-0 |    50.37% |          6 |      5.41% |             6 |             0 |
