Card	# of Decks	% of Decks	Record With	Win % With	# of Copies (Main)	# of Copies (Side)
Starfield Shepherd	1	0.013889	4-2-0	0.666667	4	0
Stern Scolding	1	0.013889	1-5-0	0.166667	1	0
Stifle	1	0.013889	3-4-0	0.428571	0	3
Stoneforge Mystic	1	0.013889	6-1-2	0.777778	4	0
Submerge	1	0.013889	3-4-0	0.428571	0	1
Summoner's Pact	1	0.013889	4-3-0	0.571429	4	0
The Stone Brain	1	0.013889	5-2-0	0.714286	0	1
Thought Monitor	1	0.013889	3-3-0	0.500000	2	0
Thoughtcast	1	0.013889	3-3-0	0.500000	4	0
Thraben Charm	1	0.013889	4-2-0	0.666667	0	1
Time Spiral	1	0.013889	4-3-0	0.571429	4	0
Toby, Beastie Befriender	1	0.013889	4-2-0	0.666667	1	0
Touch the Spirit Realm	1	0.013889	2-3-0	0.400000	0	2
Turnabout	1	0.013889	4-3-0	0.571429	4	0
Twinshot Sniper	1	0.013889	0-3-0	0.000000	0	1
Ugin, the Ineffable	1	0.013889	0-3-0	0.000000	1	0
Ulamog, the Ceaseless Hunger	1	0.013889	0-3-0	0.000000	1	0
Underground Mortuary	1	0.013889	3-3-0	0.500000	1	0
Undermountain Adventurer	1	0.013889	2-3-0	0.400000	4	0
Unearth	1	0.013889	1-3-0	0.250000	0	1
Unmask	1	0.013889	1-3-0	0.250000	4	0
Up the Beanstalk	1	0.013889	4-3-0	0.571429	4	0
Urza's Mine	1	0.013889	0-3-0	0.000000	4	0
Urza's Power Plant	1	0.013889	0-3-0	0.000000	4	0
Vision Charm	1	0.013889	1-3-0	0.250000	0	1
Void Mirror	1	0.013889	4-3-0	0.571429	0	2
Volrath's Stronghold	1	0.013889	0-2-0	0.000000	1	0
