Card Statistics over 73 Decks (DMV Legacy League Invitational (2025-11-09))
+---------------------------------------------------------+-------+--------+----------+--------+-------------+-------------+
|                          Card                           | # of  |  % of  |  Record  | Win %  | # of Copies | # of Copies |
|                                                         | Decks | Decks  |   With   |  With  |   (Main)    |   (Side)    |
+---------------------------------------------------------+-------+--------+----------+--------+-------------+-------------+
| Cache Grab                                              |     2 |  2.78% |    5-4-0 | 55.56% |           4 |           0 |
| Caves of Chaos Adventurer                               |     2 |  2.78% |    3-5-0 | 37.50% |           6 |           0 |
| Consider                                                |     2 |  2.78% |    3-7-0 | 30.00% |           2 |           0 |
| Craterhoof Behemoth                                     |     2 |  2.78% |    6-5-0 | 54.55% |           2 |           0 |
| Cursed Totem                                            |     2 |  2.78% |    6-5-0 | 54.55% |           0 |           2 |
| Doomsday                                                |     2 |  2.78% |    3-7-0 | 30.00% |           4 |           4 |
| Echoing Deeps                                           |     2 |  2.78% |    3-7-0 | 30.00% |           2 |           0 |
| Echoing Truth                                           |     2 |  2.78% |    1-6-0 | 14.29% |           0 |           6 |
| Edge of Autumn                                          |     2 |  2.78% |    3-7-0 | 30.00% |           2 |           1 |
| Fire Magic                                              |     2 |  2.78% |   10-4-1 | 70.00% |           0 |           2 |
| Goblin Bombardment                                      |     2 |  2.78% |    0-4-0 |  0.00% |           5 |           0 |
| Grist, the Hunger Tide                                  |     2 |  2.78% |    7-4-0 | 63.64% |           2 |           0 |
| Jace, Wielder of Mysteries                              |     2 |  2.78% |    5-6-0 | 45.45% |           0 |           2 |
| Knight of the Reliquary                                 |     2 |  2.78% |    6-7-0 | 46.15% |           8 |           0 |
| Lion's Eye Diamond                                      |     2 |  2.78% |    3-7-0 | 30.00% |           1 |           1 |
| March of Otherworldly Light                             |     2 |  2.78% |    0-4-0 |  0.00% |           1 |           2 |
| Minsc & Boo, Timeless Heroes                            |     2 |  2.78% |    6-7-0 | 46.15% |           1 |           1 |
| Molten Collapse                                         |     2 |  2.78% |    0-4-1 | 10.00% |           1 |           1 |
| Natural Order                                           |     2 |  2.78% |    7-4-0 | 63.64% |           3 |           3 |
